Deal Title,Partner Company,Principal Company,Other Company Names (Principal Company),Principal Company Type,Principal Company Field of Activity,Other Company Names (Partner Company),Partner Company Type,Partner Company Field of Activity,Bucket,Modality,TA,# of Targets,Color,Deal Start Date,Agreement Type,Deal Asset Type,Deal Transaction Type,Status,Total Projected Current (USD M),Total Paid (USD M),Upfront Payment Current (USD M),Total Milestone Current (USD M),Royalties (Maximum; estimate),Indications,Target-based Actions,Technologies,Drugs,Drugs Highest Status (Deal Start),Drugs Highest Status (Current),Most Recent Event Date,Territories Included,Territories Excluded,Has Contract
AbbVie to develop and commercialize Lupin's MALT1 inhibitors against hematological cancers worldwide,AbbVie Inc,Lupin Ltd,Lupin Atlantis Holdings Sa; Lupin Chemicals Ltd; Lupin Laboratories Ltd; Lupin Ltd ( Research Park),Pharma,Biotechnology & Medical Research; Pharmaceuticals,Abbvie Inv; Abbvie Pharmaceutical Trading (Shanghai) Co Ltd,Pharma,Pharmaceuticals; Biologics,Asset License,Small Molecule,Cancer,1,Inhibitors of MALT-1,24-Dec-2018,Drug - Development/Commercialization License,Product(s) only; Drug,License - Basic License (Licensee takes over),Active,977,30,30,947,Payment Unspecified,Hematological neoplasm (Primary),MALT protein 1 inhibitor,Small molecule therapeutic (Primary); Systemic formulation unspecified,LND-700110,Discovery,Preclinical,24-Dec-2018,World,India,No
Biogen acquires Pfizer's PF-04958242 for cognitive impairment associated with schizophrenia,Biogen Inc,Pfizer Inc,Chas Pfizer & Co Inc; Pfizer; Pfizer Charles & Co Inc; Pfizer Inc Products Inc; Pfizer Limted; Pfizer Manufacturing Ireland; Pfizer Science & Technology Ireland Ltd; Pflzer Inc,Pharma,Biotechnology & Medical Research; Biologics; Pharmaceuticals,Biogen Chesapeake Llc; Biogen Idec; Biogen Idec Inc; Biogen Idec International Neuroscience Gmbh; Biogen Idec Ma Inc; Biogen Srl; Idec Pharmaceuticals Corp,Pharma,Biologics,Asset License,Small Molecule,Neurology/Psychiatric,1,Schizophrenia,12-Mar-2018,Drug - Asset Divestment,Product(s) only; Drug,Asset Purchase,Completed,590,85,75,515,Payment Unspecified,Cognitive disorder (Primary); Schizophrenia,AMPA receptor agonist,Small molecule therapeutic (Primary); Capsule formulation; Oral formulation,BIIB-104,Phase 1 Clinical,Phase 2 Clinical,24-Dec-2018,,,No
Biogen and C4T to discover and develop therapies for neurological conditions using C4T's protein degradation platform,Biogen Inc,C4 Therapeutics Inc,C4 Theraprutics Inc,Pharma,Pharmaceuticals,Biogen Chesapeake Llc; Biogen Idec; Biogen Idec Inc; Biogen Idec International Neuroscience Gmbh; Biogen Idec Ma Inc; Biogen Srl; Idec Pharmaceuticals Corp,Pharma,Biologics,Modality,Bifunctional Ligand,Neurology/Psychiatric,mult. unspec.,"C4 really has the screening platform abilities for this new modality, so could be considered a Screening deal",31-Dec-2018,Drug - Discovery/Design,Drug; Drug Discovery Technology,License - Collaboration (Shared responsibilities),Active,415,45,45,Payment Unspecified,Payment Unspecified,Neurological disease (Primary); Alzheimers disease; Parkinsons disease,,Small molecule therapeutic (Primary),,Discovery,,31-Dec-2018,,,No
Takeda to develop and commercialize Denali Therapeutics's three programs using ATV technology against neurodegenerative disorders including AD,Takeda Pharmaceutical Co Ltd,Denali Therapeutics Inc,Denali Therapeutice Inc,Biotech,Biotechnology & Medical Research,Chobei Takeda & Co Ltd; Keda Chem Ind Ltd; Shire; Takeda Chem Ind Ltd; Takeda Chemical Industries; Takeda Chemical Industries Ltd; Takeda Corp; Takeda Pharmaceutical Co; Takeda Pharmaceutical Co Limted; Takeda Pharmaceutical Corp Ltd; Takeda Pharmaceuticals America Inc; Takeda Pharmaceuticals USA Inc; Takeda Yakuhin Kogyo KK,Pharma,Biologics; Pharmaceuticals,Delivery,Antibody,Neurology/Psychiatric,3,BBB penetration by Denali's platform,03-Jan-2018,Drug - Development/Commercialization License,Drug; Drug Discovery Technology,License - Co-Development/Co-Development Option (Shared responsibilities and costs);License - License Option (Option to take a license),Active,1172.5,160,40,1007.5,Payment Unspecified,Alzheimers disease (Primary); Neurodegenerative disease,TREM receptor 2 antagonist,Antibody (Primary); Biological therapeutic; CNS formulation,"ATV:BACE1/Tau; ATV:TREM2; undisclosed antibody program (ATV, neurodegenerative disease), Denali",Preclinical,Preclinical,31-Dec-2018,,,No
Jazz to develop and commercialize exosome therapeutics against five targets for cancer using Codiak's engEx technology worldwide,Jazz Pharmaceuticals plc,Codiak BioSciences Inc,,Biotech,Biotechnology & Medical Research,Azur Pharma Public Ltd Co; Jazz Pharma Ireland Ltd; Jazz Pharmaceuticals; Jazz Pharmaceuticals Inc; Jazz Pharmaceuticals Ireland Ltd,Pharma,Pharmaceuticals,Modality,Multiple,Cancer,5,,02-Jan-2019,Drug - Development/Commercialization License,Drug; Product(s) only,License - License Option (Option to take a license);License - Collaboration (Shared responsibilities),Active,1076,56,56,1020,,Cancer (Primary),NRAS gene modulator; STAT-3 modulator,Small molecule therapeutic (Primary); Protein technology,,Discovery,,02-Jan-2019,World,,Yes-Redacted
"AbbVie and Tizona Therapeutics to develop and commercialize CD39-targeted therapeutics, including TTX-030, for the treatment of cancer worldwide",AbbVie Inc,Tizona Therapeutics Inc,Tizona Therapeutics,Biotech,Pharmaceuticals,Abbvie Inv; Abbvie Pharmaceutical Trading (Shanghai) Co Ltd,Pharma,Biologics; Pharmaceuticals,Asset License,Antibody,Cancer,1,,03-Jan-2019,Drug - Development/Commercialization License,Drug; Product(s) only,License - License Option (Option to take a license);License - Co-Promotion/Co-Promotion Option (One party books sales/ shared promotion);License - Equity/Equity Option (Licensee invests in Licensor company);License - Co-Development/Co-Development Option (Shared responsibilities and costs),Active,105,105,105,Payment Unspecified,Payment Unspecified,Cancer (Primary),CD39 antagonist,Monoclonal antibody (Primary); Biological therapeutic; Immuno-oncology,TTX-030,Preclinical,Phase 1 Clinical,03-Jan-2019,World,,No
"Gilead and Yuhan to develop and commercialize therapeutic candidates for advanced fibrosis due to NASH worldwide, ex-Republic of Korea",Gilead Sciences Inc,Yuhan Corp,Yuhan Co Ltd; Yuhan Pharmaceuticals; Yuhan Yang Haeng,Pharma,Pharmaceuticals,Gilead Biologics Inc; Gilead Calistoga Llc; Gilead Connecticut Inc; Gilead Sciences Drive; Gilead Scienes Inc,Biotech,Biologics; Pharmaceuticals,Asset License,Small Molecule,Inflammatory,2,NASH; co-development,06-Jan-2019,Drug - Development/Commercialization License,Product(s) only; Drug,License - Collaboration (Shared responsibilities),Active,785,15,15,770,,Fibrosis (Primary); Non-alcoholic steatohepatitis,,Small molecule therapeutic (Primary),,Discovery,,06-Jan-2019,World,South Korea,No
"Celgene to obtain option to develop and commercialize Kyn's AHR antagonist program and Kynase program for cancer, worldwide",Celgene Corp,Ikena Oncology,Kyn Therapeutics,Biotech,Biotechnology & Medical Research,Celgene Avilomics Research Inc; Celgene Coporation; Celgene Corporaton; Celgene Tri A Holdings Ltd,Pharma,Pharmaceuticals,Asset License,Enzyme,Cancer,2,"1 program is small molecule, second is therapeutic enzyme",18-Jan-2019,Drug - Development/Commercialization License,Drug; Product(s) only,License - License Option (Option to take a license),Active,80,80,80,Payment Unspecified,,Cancer (Primary),"Aryl hydrocarbon receptor antagonist; Indoleamine-pyrrole-2,3-dioxygenase inhibitor; Kynureninase inhibitor; Tryptophan 2,3 dioxygenase inhibitor",Small molecule therapeutic (Primary); Biological therapeutic; Enzyme; Parenteral formulation unspecified,IK-175; IK-412,Discovery,Phase 1 Clinical,18-Jan-2019,World,,No
United Therapeutics to develop and commercialize Arena's ralinepag for PAH worldwide,United Therapeutics Corp,Arena Pharmaceuticals Inc,,Pharma,Biologics,Lung Rx Inc; United Therapeutics Inc; United Therepeutics Corp; Unither Neurosciences Inc,Pharma,Pharmaceuticals,Asset License,Small Molecule,Cardiovascular,1,,15-Nov-2018,Drug - Development/Commercialization License,Product(s) only; Drug,License - Basic License (Licensee takes over),Active,1200,800,800,400,,Pulmonary artery hypertension (Primary),PGI2 agonist,Small molecule therapeutic (Primary); Oral formulation,ralinepag (Orphan Drug),Phase 3 Clinical,Phase 3 Clinical,24-Jan-2019,World,,Yes-Redacted
"Celgene to obtain option rights to developTriphase Accelerator's WDR5 protein, TRPH-395 against blood cancers including AML",Celgene Corp,Triphase Accelerator Corp,Triphase Research and Development I Corp,Pharma,Pharmaceuticals,Celgene Avilomics Research Inc; Celgene Coporation; Celgene Corporaton; Celgene Tri A Holdings Ltd,Pharma,Pharmaceuticals,Asset License,Small Molecule,Cancer,1,,29-Jan-2019,Drug - Development/Commercialization License,Product(s) only; Drug,License - License Option (Option to take a license),Active,980,40,40,940,Payment Unspecified,Acute myelogenous leukemia (Primary); Hematological neoplasm; Leukemia,WD repeat containing protein 5 inhibitor; WDR5 gene inhibitor,Small molecule therapeutic (Primary),TRPH-395,Discovery,Discovery,29-Jan-2019,,,No
Amgen to develop and commercialize Molecular Partners' MP-0310 against cancer worldwide,Amgen Inc,Molecular Partners AG,,Pharma,Biologics,Amgen; Amgen Boulder Inc; Amgen British Columbia; Amgen British Columbia Inc; Amgen Sf Llc; Applied Molecular Genetics Inc; Synergen Inc,Pharma,Pharmaceuticals; Biologics,Asset License,Bispecifics,Cancer,1,in combo with Amgen's BITE platform,18-Dec-2018,Drug - Development/Commercialization License,Product(s) only; Drug,License - Co-Development/Co-Development Option (Shared responsibilities and costs),Active,547,50,50,497,,Cancer (Primary),CDw137 agonist; Seprase modulator,Protein recombinant (Primary); Biological therapeutic; Drug combination; Immuno-oncology,MP-0310,Preclinical,Phase 1 Clinical,31-Jan-2019,World,,No
"Adaptive Biotechnologies and Genentech to develop, manufacture and commercialize neoantigen directed TCRs for cancer, autoimmune conditions and infectious diseases worldwide",Genentech Inc,Adaptive Biotechnologies Corp,Adaptive TCR Corp,Biotech,Digital Health Clinical Trial Research; Biotechnology & Medical Research,Genentec Inc; Genentech; Genentech Inc (Us; Genetech Inc,Biotech,Biotechnology & Medical Research; Biologics; Pharmaceuticals,Screening,Cell Therapy,Cancer,n-of-1,technology platform to rapidly identify T-cell receptors (TCRs) that can most effectively recognize and directly target specific neoantigens,19-Dec-2018,Drug - Development/Commercialization License,Drug Discovery Technology; Drug,License - Collaboration (Shared responsibilities),Active,2100,300,300,1800,Payment Unspecified,Cancer (Primary); Autoimmune disease; Infectious disease,,Cell therapy (Primary); Mast cell; T-lymphocyte; Tumor antigen,,Discovery,,28-Feb-2019,World,,Yes-Redacted
OSE Immunotherapeutics and Boehringer to develop and commercialize OSE-172 against advanced solid tumors worldwide,Boehringer Ingelheim International GmbH,OSE Immunotherapeutics,JT Pharma; OSE Pharma; Orphan Synergy Europe Pharma; Orphan Synergy Europe Pharma SA,Pharma,Biologics,Boehringer Ingelheim (China) Investment Co Ltd; Boehringer Ingelheim Corp; Boehringer Ingelheim Gesellschaft mit beschraenkter Haftung; Boehringer Ingelheim International Gmbh & Co Kg,Pharma,Biologics; Biotechnology & Medical Research; Pharmaceuticals,Asset License,Antibody,Cancer,1,,04-Apr-2018,Drug - Development/Commercialization License,Product(s) only; Drug,License - Collaboration (Shared responsibilities),Active,1388.66,35.55,18.43,1370.22,Payment Unspecified,Cancer (Primary); Advanced solid tumor; Follicle center lymphoma; Head and neck tumor; Hepatocellular carcinoma; Metastatic esophageal cancer; Metastatic non small cell lung cancer; Metastatic stomach cancer; Multiple myeloma; Non-small-cell lung cancer; Solid tumor; Squamous cell carcinoma,Programmed cell death protein 1 inhibitor; Tyrosine phosphatase substrate 1 inhibitor,Monoclonal antibody humanized (Primary); Biological therapeutic; Immuno-oncology; Immunoglobulin G isotype antibody; Infusion; Intravenous formulation; Monoclonal antibody; Parenteral formulation unspecified,BI-754091; BI-765063,Phase 1 Clinical,Phase 2 Clinical,05-Mar-2019,World,,No
Ambrx and Beigene to discover and develop biologic drug candidates using Expanded Genetic Code platforms worldwide,BeiGene Co Ltd,Ambrx Inc,,Pharma,Biologics,Beigene Ltd,Biotech,Pharmaceuticals; Biotechnology & Medical Research,Modality,Antibody,Unknown,mult. unspec.,inclusion of non-canonical amino acids into antibody drugs,06-Mar-2019,Drug - Development/Commercialization License,Drug Discovery Technology; Drug,License - Collaboration (Shared responsibilities),Active,475,10,29,446,Payment Unspecified,Unidentified indication (Primary),,Peptide (Primary); Biological therapeutic,,Discovery,,06-Mar-2019,World,,No
"Genentech to develop and commercialize Xencor's IL-15 cytokine therapeutics, including XmAb-24306 and other IL-15 programs worldwide",Genentech Inc,Xencor Inc,Xencor,Pharma,Biotechnology & Medical Research,Genentec Inc; Genentech; Genentech Inc (Us; Genetech Inc,Biotech,Pharmaceuticals; Biotechnology & Medical Research; Biologics,Modality,Bispecific,Cancer,mult. unspec.,IL-15 bispecific cytokines; 1 specified asset + any discovered in next 2 years,04-Feb-2019,Drug - Development/Commercialization License,Product(s) only; Drug,License - Co-Promotion/Co-Promotion Option (One party books sales/ shared promotion);License - Co-Development/Co-Development Option (Shared responsibilities and costs),Active,460,120,120,340,,Cancer (Primary),CD122 agonist,Antibody fragment (Primary); Biological therapeutic; Immuno-oncology; Parenteral formulation unspecified; Protein fusion,XmAb-24306,Preclinical,Phase 1 Clinical,08-Mar-2019,World,,Yes-Redacted
Seres Therapeutics and AstraZeneca to develop microbiome therapeutics to augment immune oncology,AstraZeneca plc,Seres Therapeutics Inc,Newco LS21 Inc; Seres Health; Seres Health Inc,Biotech,Biologics; Microbiome Research,Astra Zeneca Holding France; Astrazeneca; Astrazeneca Pharma India Ltd; Astrazeneca Pharmaceuticals; Astrazeneca Pty Ltd; Astrazeneca Research Foundation; Hackplimco No Five PLC; Ici Bioscience PLC; Zeneca Group PLC,Pharma,Pharmaceuticals; Biologics,Modality,Small Molecule,Cancer,mult. unspec.,microbiome-targeted therapeutics; research collab with ROFR option for licensing assets,11-Mar-2019,Drug - Early Research/Development,Product(s) only; Drug,License - License Option (Option to take a license);License - Collaboration (Shared responsibilities),Active,20,6.6,20,,,Cancer (Primary),,Biological therapeutic (Primary); Bacterium novel; Immuno-oncology; Oral formulation,SER-401,Phase 1 Clinical,Phase 1 Clinical,11-Mar-2019,World,,No
Alexion and Zealand to discover and develop subcutaneous peptide therapies for complement-mediated diseases worldwide,Alexion Pharmaceuticals Inc,Zealand Pharma A/S,Kbus 8 Nr 4581 ApS; Peptide Probe Technologies ApS; Zealand Pharmaceuticals A/S,Biotech,Biotechnology & Medical Research; Biologics,Alexion; Alexion Pharma Llc; Alexion Pharmaceuticlas Inc,Pharma,Pharmaceuticals; Biologics,Modality,Peptide,Immune,4,complement pathway targets,20-Mar-2019,Drug - Development/Commercialization License,Drug Discovery Technology; Drug,License - License Option (Option to take a license);License - Equity/Equity Option (Licensee invests in Licensor company);License - Collaboration (Shared responsibilities),Active,2000,40,25,610,Payment Unspecified,Unidentified indication (Primary),Complement C3 inhibitor,Biological therapeutic; Peptide; Subcutaneous formulation; Sustained release formulation,"complement C3 inhibitors, Zealand Pharma/Alexion Pharmaceuticals",Preclinical,Preclinical,20-Mar-2019,World,,No
Exscientia and Celgene to discover small molecule therapeutic drug candidates in oncology and autoimmunity using Centaur Chemist AI drug discovery platform,Celgene Corp,Exscientia Ltd,,Pharma,Pharmaceuticals; Software & Technology,Celgene Avilomics Research Inc; Celgene Coporation; Celgene Corporaton; Celgene Tri A Holdings Ltd,Pharma,Pharmaceuticals,Screening,Small Molecule,Diversified,3,oncology and autoimmune; AI screening,21-Mar-2019,Drug - Discovery/Design,Drug; Drug Discovery Technology,License - Collaboration (Shared responsibilities),Active,25,25,25,Payment Unspecified,Payment Unspecified,Autoimmune disease; Cancer,,Small molecule therapeutic (Primary),,Discovery,,21-Mar-2019,,,No
"Roche to use Halozyme's Enhanze technology to develop new undisclosed therapeutic, with an option to two new targets",Roche Holding AG,Halozyme Therapeutics Inc,DeliaTroph Pharmaceuticals Inc; Global Yacht Services Inc; Halozyme Inc,Pharma,Biologics,Roche; Roche GmbH; Roche Holding Ltd; Roche Holdings Inc; Roche R&D Center China Ltd,Pharma,Digital Imaging & Pathology; Digital Health Software & Analytics; Biologics; Pharmaceuticals; Holding Company; Diagnostics & Testing; Medical Equipment & Technology,Delivery,Antibody,Cancer,3,expansion of previous collab,30-Oct-2018,Technology - Delivery/Formulation,Drug; Drug Delivery Technology,License - License Option (Option to take a license);License - Collaboration (Shared responsibilities),Active,520,25,25,495,,Metastatic non small cell lung cancer (Primary),Programmed cell death ligand 1 inhibitor,Subcutaneous formulation (Primary); Biological therapeutic; Immuno-oncology; Immunoglobulin G isotype antibody; Monoclonal antibody humanized; Protein recombinant,"atezolizumab + hyaluronidase (cancer, Enhanze), Roche/Halozyme",Phase 2 Clinical,Phase 2 Clinical,31-Mar-2019,,,No
BI and Epizyme to develop and commercialize small molecule inhibitors against helicase and HAT families in lung and other solid tumor cancers worldwide,Boehringer Ingelheim International GmbH,Epizyme Inc,,Biotech,Pharmaceuticals,Boehringer Ingelheim (China) Investment Co Ltd; Boehringer Ingelheim Corp; Boehringer Ingelheim Gesellschaft mit beschraenkter Haftung; Boehringer Ingelheim International Gmbh & Co Kg,Pharma,Biologics; Biotechnology & Medical Research; Pharmaceuticals,Target ID,Small Molecule,Cancer,2,epigenetic modifier proteins,14-Nov-2018,Drug - Development/Commercialization License,Product(s) only; Drug,License - Co-Development/Co-Development Option (Shared responsibilities and costs),Active,300.5,20.5,15,280.5,,Lung tumor (Primary); Solid tumor,Helicase inhibitor; Histone acetyltransferase inhibitor,Small molecule therapeutic (Primary),"helicase inhibitors (lung cancer, solid tumors), Boehringer Ingelheim/Epizyme; histone acetyltransferase inhibitors (lung cancer, solid tumors), Boehringer Ingelheim/ Epizyme",Discovery,Discovery,06-May-2019,World,,No
"Gilead Sciences and Goldfinch Bio to discover, develop and commercialize therapies for diabetic kidney disease and orphan kidney disease",Gilead Sciences Inc,Goldfinch Bio,Goldfinch Bio Inc,Biotech,Biotechnology & Medical Research,Gilead Biologics Inc; Gilead Calistoga Llc; Gilead Connecticut Inc; Gilead Sciences Drive; Gilead Scienes Inc,Biotech,Pharmaceuticals; Biologics,Target ID,Small Molecule,Genitourinary/Sexual Function,5,Goldfinch’s proprietary Kidney Genome Atlas™ (KGA),08-May-2019,Drug - Development/Commercialization License,Drug Discovery Technology; Drug,License - Collaboration (Shared responsibilities);License - License Option (Option to take a license),Active,2059,55,50,1950,Payment Unspecified,Renal disease (Primary); Diabetic nephropathy; Polycystic kidney disease,Cyclin-dependent kinase-5 modulator; Unspecified GPCR modulator,Small molecule therapeutic (Primary),PKD-003; PKD-004,Discovery,Discovery,08-May-2019,World,,No
"Gilead and Nurix to discover, develop and commercialize E3 ligase modulating targeted protein degradation drugs for cancer and other diseases worldwide",Gilead Sciences Inc,Nurix Therapeutics Inc,Kura Therapeutics Inc; Nurix Inc,Biotech,Biotechnology & Medical Research,Gilead Biologics Inc; Gilead Calistoga Llc; Gilead Connecticut Inc; Gilead Sciences Drive; Gilead Scienes Inc,Biotech,Pharmaceuticals; Biologics,Modality,Bifunctional Ligand,Cancer,5,PROTACs,19-Jun-2019,Drug - Development/Commercialization License,Product(s) only; Drug,License - License Option (Option to take a license);License - Co-Development/Co-Development Option (Shared responsibilities and costs),Active,2345,45,45,2300,Payment Unspecified,Cancer (Primary),Ubiquitin ligase E3A modulator,Small molecule therapeutic (Primary),,Discovery,,19-Jun-2019,World,,No
Gilead to develop and commercialize small molecule immuno-oncology therapies using Carna Biosciences' lipid kinase drug discovery technology worldwide,Gilead Sciences Inc,Carna Biosciences Inc,,Biotech,Biologics,Gilead Biologics Inc; Gilead Calistoga Llc; Gilead Connecticut Inc; Gilead Sciences Drive; Gilead Scienes Inc,Biotech,Biologics; Pharmaceuticals,Screening,Small Molecule,Cancer,1,lipid kinase target,24-Jun-2019,Drug - Development/Commercialization License,Drug; Drug Discovery Technology,License - Collaboration (Shared responsibilities),Active,470,20,20,450,,Cancer (Primary),,Small molecule therapeutic (Primary); Immuno-oncology,,Discovery,,24-Jun-2019,World,,No
Boehringer Ingelheim and Yuhan to develop GLP1R/FGF21R agonist for the treatment of NASH and related liver diseases,Boehringer Ingelheim International GmbH,Yuhan Corp,Yuhan Co Ltd; Yuhan Pharmaceuticals; Yuhan Yang Haeng,Pharma,Pharmaceuticals,Boehringer Ingelheim (China) Investment Co Ltd; Boehringer Ingelheim Corp; Boehringer Ingelheim Gesellschaft mit beschraenkter Haftung; Boehringer Ingelheim International Gmbh & Co Kg,Pharma,Biologics; Pharmaceuticals; Biotechnology & Medical Research,Asset License,Bispecific,Gastrointestinal,1,NASH,01-Jul-2019,Drug - Development/Commercialization License,Drug; Product(s) only,License - Collaboration (Shared responsibilities),Active,870,40,40,830,,Non-alcoholic steatohepatitis (Primary); Diabetes mellitus; Liver disease; Obesity,FGF-21 ligand; FGF21 gene stimulator; GLP1R gene stimulator; Glucagon-like peptide 1 receptor agonist,Small molecule therapeutic (Primary); Biological therapeutic; Protein recombinant,YH-25724,Preclinical,Preclinical,01-Jul-2019,,,No
"I-Mab to develop and commercialize MacroGenics' enoblituzumab for cancer in mainland China, Hong Kong, Macau and Taiwan",I-Mab Biopharma,MacroGenics Inc,,Pharma,Biologics,I-Mab; I-Mab Biopharma Us Ltd; IMAB China; Tasgen; Tianjin Tasly North Gate Hospital Investment Management Ltd; Tianshizhen Biotechnology (Tianjin) Co Ltd,Biotech,Biotechnology & Medical Research,Asset License,Antibody,Cancer,1,,10-Jul-2019,Drug - Development/Commercialization License,Product(s) only; Drug,License - Basic License (Licensee takes over),Active,150,15,15,135,20,Solid tumor (Primary),CD276 antigen inhibitor,Monoclonal antibody humanized (Primary); Biological therapeutic; Immuno-oncology; Immunoglobulin G isotype antibody; Infusion; Intravenous formulation; Protein recombinant,enoblituzumab,Phase 2 Clinical,Phase 2 Clinical,10-Jul-2019,China; Hong Kong; Macau; Taiwan,,No
Astellas to develop and commercialize Frequency’s FX-322 for SNHL worldwide excluding the US,Astellas Pharma Inc,Frequency Therapeutics Inc,,Biotech,Pharmaceuticals,Astellas Deutschland Gmbh; Astellas Farma Brasil Importacao e Distribuicao de Medicamentos Ltda; Astellas Ireland Co Ltd; Astellas Pharm Inc; Astellas Pharma; Astellas Pharma Corp; Astellas Pharmaceutical Kk; Astellas Pharma Inc; Yamanouchi Pharmaceutical Co Ltd; Yamanouchi Yakuhin Shokai KK,Pharma,Pharmaceuticals,Asset License,Small Molecule,Other/Miscellaneous,1,Hearing loss,16-Jul-2019,Drug - Development/Commercialization License,Product(s) only; Drug,License - Collaboration (Shared responsibilities),Active,625,80,80,545,Payment Unspecified,Noise induced hearing loss (Primary),Glycogen synthase kinase-3 alpha inhibitor; Histone deacetylase inhibitor,Small molecule therapeutic (Primary); Injectable formulation; Otic formulation; Otic gel formulation; Parenteral formulation unspecified,FX-322 (Fast Track),Phase 2 Clinical,Phase 2 Clinical,16-Jul-2019,Asia; Europe; World,US,Yes-Redacted
"Boehringer and Bridge to develop Bridge's BBT-877 against fibrosing interstitial lung diseases, including IPF worldwide",Boehringer Ingelheim International GmbH,Bridge Biotherapeutics Inc,,Pharma,Biologics,Boehringer Ingelheim (China) Investment Co Ltd; Boehringer Ingelheim Corp; Boehringer Ingelheim Gesellschaft mit beschraenkter Haftung; Boehringer Ingelheim International Gmbh & Co Kg,Pharma,Biotechnology & Medical Research; Biologics; Pharmaceuticals,Asset License,Small Molecule,Respiratory,1,IPF,18-Jul-2019,Drug - Development/Commercialization License,Drug; Product(s) only,License - Collaboration (Shared responsibilities),Active,1286.52,50.56,50.56,1235.96,Payment Unspecified,Idiopathic pulmonary fibrosis (Primary); Interstitial lung disease; Pulmonary fibrosis,Ectonucleotide pyrophosphatase-PDE-2 inhibitor,Small molecule therapeutic (Primary); Capsule formulation; Oral formulation,BBT-877 (Orphan Drug),Phase 1 Clinical,Phase 1 Clinical,18-Jul-2019,World,,No
Chimerix to develop and commercialize Cantex' CX-01 for AML worldwide,Chimerix Inc,Cantex Pharmaceuticals Inc,Cantex Pharmaceuticals; KRCT Therapeutics Inc; ParinGenix Inc,Pharma,Pharmaceuticals,,Pharma,Pharmaceuticals,Asset License,Small Molecule,Cancer,1,AML,26-Jul-2019,Drug - Development/Commercialization License,Drug; Product(s) only,License - Basic License (Licensee takes over),Active,617.5,30,30,587.5,10,Acute myelogenous leukemia (Primary),CXCR4 chemokine modulator; Cathepsin G inhibitor; Complement cascade inhibitor; Elastase inhibitor; Heparin agonist; High mobility group protein B1 inhibitor; L selectin antagonist; P selectin antagonist; Stromal cell-derived factor 1 ligand modulator,Small molecule therapeutic (Primary); Immuno-oncology; Infusion; Intravenous formulation; Oligosaccharide,"dociparstat (iv, AML/acute lung injury/COVID-19), Chimerix (Orphan Drug)",Phase 2 Clinical,Phase 3 Clinical,26-Jul-2019,World,,Yes-Redacted
Eli Lilly to develop and commercialize Centrexion's CNTX-0290 for chronic pain worldwide,Eli Lilly & Co,Centrexion Therapeutics Corp,Centrexion Corp,Pharma,Pharmaceuticals,C/O Eli Lilly & Co; Eli Lilly & Compny; Eli Lilly and Company; Eli Lily & Co; Elli Lilly & Co; Ely Lilly & Co; Lilly Eli & Et Al Co; Lilly Korea Ltd,Pharma,Biologics; Pharmaceuticals,Asset License,Small Molecule,Neurology/Psychiatric,1,chronic pain,28-May-2019,Drug - Development/Commercialization License,Drug; Product(s) only,License - Basic License (Licensee takes over);License - Co-Promotion/Co-Promotion Option (One party books sales/ shared promotion),Active,997.5,47.5,47.5,950,Payment Unspecified,Pain (Primary),Somatostatin 4 receptor agonist,Small molecule therapeutic (Primary); Systemic formulation unspecified,LY-3556050,Phase 1 Clinical,Phase 1 Clinical,29-Jul-2019,World,,No
"Sosei and Takeda to discover, develop and commercialize GPCR targeting small molecules and biologics worldwide with initial focus on gastrointestinal disorders",Takeda Pharmaceutical Co Ltd,Sosei Heptares,Sosei Co Ltd; Sosei Group Corp; Sosei KK,Pharma,Pharmaceuticals,Chobei Takeda & Co Ltd; Keda Chem Ind Ltd; Shire; Takeda Chem Ind Ltd; Takeda Chemical Industries; Takeda Chemical Industries Ltd; Takeda Corp; Takeda Pharmaceutical Co; Takeda Pharmaceutical Co Limted; Takeda Pharmaceutical Corp Ltd; Takeda Pharmaceuticals America Inc; Takeda Pharmaceuticals USA Inc; Takeda Yakuhin Kogyo KK,Pharma,Pharmaceuticals; Biologics,Screening,Small Molecule,Gastrointestinal,mult. unspec.,GPCR-focused structure-based drug design capabilities at Sosei Heptares,05-Aug-2019,Drug - Development/Commercialization License,Drug; Product(s) only,License - Collaboration (Shared responsibilities),Active,1226,26,26,1200,Payment Unspecified,Gastrointestinal disease (Primary),G protein coupled receptor modulator,Small molecule therapeutic (Primary); Biological therapeutic,,Discovery,,05-Aug-2019,World,,No
"Sanofi and Denali to develop and commercialize DNL-747 for ALS, MS and AD, DNL-758 for RA and psoriasis and other RIPK1 Inhibitors worldwide",Sanofi Genzyme,Denali Therapeutics Inc,Denali Therapeutice Inc,Biotech,Biotechnology & Medical Research,Genzyme Corp; Genzyme Massachusetts Corporat; Genzyme Polyclonals Sas; Genzyne Corp,Biotech,Biologics; Pharmaceuticals,Asset License,Small Molecule,Diversified,2,"same target RIPK1, but 2 molecules that are brain penetrable or not, so more like 2 targets",29-Oct-2018,Drug - Development/Commercialization License,Product(s) only; Drug,License - Co-Development/Co-Development Option (Shared responsibilities and costs),Active,1220,135,125,1095,,Alzheimers disease; Inflammatory disease; Motor neurone disease; Multiple sclerosis; Psoriasis; Rheumatoid arthritis,RIP-1 kinase inhibitor,Small molecule therapeutic (Primary); Oral formulation,DNL-747; DNL-758,Phase 1 Clinical,Phase 1 Clinical,05-Aug-2019,World,,Yes-Redacted
